Organization,Degree,Specialisation,Year
Banaras Hindu University (BHU),B.A,Psychology,2005
Indian Institute of Technology (Bhubaneswar),BE,Manu,1994
Lady Shri Ram College for Women (LSR),Ph.D,Medicine,1997
National Institute of Design (NID),M.Tech,Mechanical,1986
Loyola College,B.A,English,1984
Jawaharlal Nehru University (JNU),Ph.D,Electrical,2014
Tata Institute of Social Sciences (TISS),B.Tech,Civil,1990
Banaras Hindu University (BHU),B.Pharm,Medicine,2009
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2020
Indian Institute of Foreign Trade (IIFT),B.A,Psychology,1995
Indian Institute of Technology (Roorkee),M.Tech,Manu,2016
Indian Institute of Technology (Bhubaneswar),B.Tech,Electrical,2014
Symbiosis International University,M.Tech,Mechanical,1999
National Law School of India University (NLSIU),B.A,Psychology,2021
Banaras Hindu University (BHU),BE,Civil,1996
Birla Institute of Technology and Science (BITS Pilani),BE,Mechanical,2018
Indian School of Business (ISB),Ph.D,Medicine,1986
All India Institute of Medical Sciences (AIIMS),B.A,Psychology,2011
Indian Institute of Technology (Kanpur),B.Tech,Mechanical,2009
Aligarh Muslim University (AMU),BE,Mechanical,1982
Indian Institute of Management (Kolkata),B.Tech,Electrical,2017
National Institute of Technology (Trichy),B.A,Psychology,2010
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Comp Sci,1985
Aligarh Muslim University (AMU),Ph.D,Comp Sci,1993
Indian Institute of Management (Lucknow),B.Tech,Civil,1994
Lady Shri Ram College for Women (LSR),M.Tech,Comp Sci,1996
All India Institute of Medical Sciences (AIIMS),Ph.D,Mechanical,2019
National Institute of Technology (Trichy),B.A,Sociology,2020
Loyola College,BE,Electrical,2010
Presidency University,Ph.D,Manu,2009
National Institute of Technology (NITs),B.A,English,1985
National Institute of Technology (Trichy),B.Pharm,Medicine,1991
Indian Institute of Technology (Delhi),M.Tech,Mechanical,2012
Indian Institute of Technology (Kanpur),B.Tech,Mechanical,1983
St. Stephen's College,B.A,Psychology,1994
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2000
Indian Institute of Management (Lucknow),M.Tech,Mechanical,1980
Lady Shri Ram College for Women (LSR),BE,Civil,1993
Indian Statistical Institute (ISI),B.Pharm,Medicine,2001
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,2001
All India Institute of Medical Sciences (AIIMS),Ph.D,Comp Sci,1982
National Law University (NLU),B.Tech,Manu,1983
Indian Statistical Institute (ISI),M.Tech,Comp Sci,2005
Indian School of Business (ISB),M.Tech,Comp Sci,1999
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2008
National Law University (NLU),B.A,History,2013
Indian Institute of Technology (Madras),B.Tech,Mechanical,2002
Indian Statistical Institute (ISI),BE,Manu,2016
St. Stephen's College,B.Tech,Manu,1986
Indian Institute of Science (IISc),Ph.D,Electrical,2020
Indian Institute of Technology (Guwahati),B.A,English,2019
Indian Statistical Institute (ISI),Ph.D,Psychology,1981
National Law School of India University (NLSIU),BE,Mechanical,2017
Symbiosis International University,B.Tech,Comp Sci,1995
National Institute of Fashion Technology (NIFT),BE,Comp Sci,2003
Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,2014
Indian Institute of Management (Kozhikode),Ph.D,Manu,1994
Indian Institute of Science Education and Research (IISER),B.Tech,Civil,2014
Xavier Labour Relations Institute (XLRI),Ph.D,Comp Sci,2010
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2001
Presidency University,M.Tech,Civil,2018
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1987
Indian Institute of Management (Lucknow),Ph.D,Mechanical,2016
Indian Institute of Management (Kozhikode),M.Tech,Civil,2012
Xavier Labour Relations Institute (XLRI),B.A,English,1996
Presidency University,B.A,English,1994
National Institute of Technology (Jaipur),B.Pharm,Medicine,1988
Loyola College,B.A,History,2012
Indian Institute of Technology (Madras),B.Tech,Comp Sci,1995
National Institute of Technology (Jaipur),Ph.D,Manu,2008
Miranda House,B.Pharm,Medicine,2006
Banaras Hindu University (BHU),BE,Manu,1982
Hansraj College,B.Pharm,Medicine,2016
National Institute of Fashion Technology (NIFT),B.Tech,Manu,2009
Indian Institute of Technology (Madras),Ph.D,Mechanical,1996
Miranda House,B.A,Sociology,2022
Indian Statistical Institute (ISI),B.Pharm,Medicine,2006
Miranda House,Ph.D,Manu,2001
Hansraj College,B.A,Psychology,1989
Manipal Academy of Higher Education,M.Tech,Civil,1991
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Civil,1998
National Institute of Fashion Technology (NIFT),Ph.D,Civil,2014
Indian Institute of Technology (Bombay),B.A,Psychology,2003
Tata Institute of Social Sciences (TISS),BE,Civil,1999
Loyola College,BE,Civil,1989
Lady Shri Ram College for Women (LSR),BE,Comp Sci,2016
Indian Statistical Institute (ISI),BE,Comp Sci,2002
Indian Institute of Management (Kolkata),M.Tech,Civil,1988
Indian Institute of Technology (Delhi),Ph.D,Civil,2017
Symbiosis International University,M.Tech,Comp Sci,1999
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,1995
All India Institute of Medical Sciences (AIIMS),BE,Electrical,1983
Indian Institute of Science Education and Research (IISER),B.Tech,Electrical,1990
National Institute of Fashion Technology (NIFT),Ph.D,Manu,2011
Indian Institutes of Management (IIMs),B.Tech,Mechanical,1983
Manipal Academy of Higher Education,BE,Mechanical,2000
Indian Institute of Science Education and Research (IISER),BE,Mechanical,1993
Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,1981
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1986
National Institute of Fashion Technology (NIFT),B.A,Psychology,1982
Presidency University,B.Pharm,Medicine,2016
Indian Institute of Technology (Banaras Hindu University),Ph.D,Psychology,1986
Indian Institute of Management (Ahmedabad),B.A,English,1997
National Institute of Design (NID),Ph.D,Mechanical,2005
Indian Institute of Management (Kozhikode),BE,Electrical,1996
Manipal Academy of Higher Education,B.A,History,1996
Banaras Hindu University (BHU),BE,Comp Sci,1990
National Institute of Technology (Surathkal),Ph.D,Civil,1999
Banaras Hindu University (BHU),M.Tech,Comp Sci,1980
Indian Institute of Foreign Trade (IIFT),Ph.D,History,2009
Indian Statistical Institute (ISI),BE,Mechanical,1987
Banaras Hindu University (BHU),B.Tech,Comp Sci,2006
Indian Institute of Technology (Roorkee),B.A,History,1980
Indian Institute of Technology (Roorkee),M.Tech,Mechanical,1988
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2021
National Institute of Technology (NITs),M.Tech,Mechanical,1983
Indian Institutes of Management (IIMs),M.Tech,Comp Sci,1982
Indian Institute of Foreign Trade (IIFT),B.Tech,Manu,1997
Delhi Technological University (DTU),M.Tech,Mechanical,2011
Symbiosis International University,B.Tech,Manu,2008
Loyola College,B.Pharm,Medicine,2022
National Institute of Technology (Trichy),B.Pharm,Medicine,2017
Delhi Technological University (DTU),BE,Manu,2006
National Institute of Technology (Trichy),B.Tech,Mechanical,1985
Miranda House,B.Pharm,Medicine,2006
Indian Institute of Technology (Bombay),BE,Mechanical,2000
Indian Institute of Management (Indore),M.Tech,Mechanical,1985
National Law University (NLU),M.Tech,Civil,1989
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2012
Indian Institute of Technology (Banaras Hindu University),BE,Civil,2009
Indian Institute of Technology (Bhubaneswar),Ph.D,Psychology,1991
Miranda House,Ph.D,Electrical,2022
Indian Institute of Management (Kolkata),BE,Manu,2011
National Institute of Technology (Warangal),B.Tech,Comp Sci,2004
National Institute of Technology (NITs),M.Tech,Civil,1990
Xavier Labour Relations Institute (XLRI),B.Tech,Civil,2007
National Institute of Technology (Jaipur),B.Pharm,Medicine,1997
National Institute of Technology (Calicut),BE,Mechanical,2004
National Institute of Fashion Technology (NIFT),M.Tech,Comp Sci,2010
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,1995
Miranda House,B.A,Psychology,1982
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,1994
Tata Institute of Social Sciences (TISS),B.A,English,2002
Indian Institute of Technology (Delhi),B.A,History,1992
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,2002
Indian Institute of Technology (Madras),B.Tech,Electrical,2015
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1982
Manipal Academy of Higher Education,B.Pharm,Medicine,2021
Delhi Technological University (DTU),B.Tech,Mechanical,1989
Christ University,B.Pharm,Medicine,1996
Indian Institute of Management (Kolkata),BE,Mechanical,1997
Banaras Hindu University (BHU),BE,Civil,2016
Symbiosis International University,B.Tech,Comp Sci,1996
National Institute of Design (NID),B.Tech,Electrical,1995
National Law University (NLU),M.Tech,Civil,2020
Lady Shri Ram College for Women (LSR),M.Tech,Civil,2021
Indian Institutes of Technology (IITs),B.Tech,Civil,2006
Indian Institute of Management (Kozhikode),Ph.D,Comp Sci,2008
National Law School of India University (NLSIU),M.Tech,Manu,2014
Symbiosis International University,M.Tech,Manu,1989
Banaras Hindu University (BHU),M.Tech,Electrical,1983
National Institute of Technology (Jaipur),BE,Electrical,2014
Banaras Hindu University (BHU),M.Tech,Manu,1999
Indian Institute of Technology (Banaras Hindu University),B.Tech,Comp Sci,1980
Symbiosis International University,B.Pharm,Medicine,2006
Indian Institute of Technology (Madras),Ph.D,Medicine,1990
Indian Institute of Management (Ahmedabad),Ph.D,Medicine,1986
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2017
Indian Institutes of Technology (IITs),B.Pharm,Medicine,2019
Indian Institute of Management (Kolkata),B.A,English,1984
National Institute of Fashion Technology (NIFT),B.A,Sociology,1980
Indian Institute of Technology (Delhi),B.A,History,2003
Indian Institute of Technology (Kanpur),B.Tech,Comp Sci,2005
Birla Institute of Technology and Science (BITS Pilani),B.A,Sociology,1984
National Institute of Technology (NITs),B.Pharm,Medicine,2006
National Law School of India University (NLSIU),B.Pharm,Medicine,1999
Indian Institute of Management (Indore),B.Pharm,Medicine,1988
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,2014
Hansraj College,Ph.D,Sociology,2016
Presidency University,M.Tech,Civil,1987
Indian School of Business (ISB),BE,Electrical,1989
Indian Institute of Technology (Roorkee),B.Tech,Manu,2021
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2010
Indian Statistical Institute (ISI),Ph.D,Civil,1988
Symbiosis International University,M.Tech,Electrical,1985
Indian Statistical Institute (ISI),B.A,Psychology,2016
Indian Institutes of Management (IIMs),BE,Mechanical,2015
Miranda House,B.A,Sociology,2002
Jawaharlal Nehru University (JNU),M.Tech,Civil,2020
Indian Institutes of Management (IIMs),BE,Comp Sci,1989
National Institute of Fashion Technology (NIFT),B.Tech,Civil,2018
National Institute of Technology (Calicut),B.Pharm,Medicine,1998
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2006
Symbiosis International University,BE,Civil,1980
Symbiosis International University,BE,Civil,1997
Indian Institute of Science Education and Research (IISER),M.Tech,Comp Sci,2020
Indian Institutes of Technology (IITs),BE,Mechanical,1998
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,1990
National Institute of Technology (Trichy),B.Tech,Manu,1996
Indian School of Business (ISB),B.A,Psychology,1987
Presidency University,B.Tech,Mechanical,2011
Hansraj College,BE,Mechanical,2006
National Institute of Technology (Jaipur),Ph.D,Electrical,2012
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2003
Manipal Academy of Higher Education,B.Pharm,Medicine,1983
National Institute of Technology (Warangal),B.A,History,2012
Hansraj College,B.Pharm,Medicine,2022
National Institute of Design (NID),M.Tech,Civil,1984
Indian Institutes of Technology (IITs),B.A,History,1996
National Institute of Technology (Surathkal),B.A,Psychology,2022
National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,2019
National Institute of Technology (NITs),B.Tech,Mechanical,2000
Lady Shri Ram College for Women (LSR),B.Tech,Manu,1990
National Law University (NLU),M.Tech,Manu,1994
Lady Shri Ram College for Women (LSR),Ph.D,Comp Sci,1996
Indian Institute of Technology (Bombay),Ph.D,Comp Sci,2003
Banaras Hindu University (BHU),B.Pharm,Medicine,2006
Indian Institute of Technology (Kanpur),B.Tech,Mechanical,2003
Xavier Labour Relations Institute (XLRI),B.Tech,Electrical,2015
National Institute of Design (NID),B.Tech,Civil,2010
St. Stephen's College,B.A,Sociology,2013
Indian Statistical Institute (ISI),B.Tech,Electrical,2016
Presidency University,BE,Mechanical,2003
Indian Institute of Management (Ahmedabad),M.Tech,Mechanical,1991
St. Stephen's College,M.Tech,Comp Sci,2022
National Institute of Technology (Calicut),M.Tech,Civil,2003
National Institute of Technology (Trichy),B.A,English,2010
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1996
Indian Institutes of Technology (IITs),Ph.D,History,2015
Indian Institute of Foreign Trade (IIFT),B.Tech,Comp Sci,2012
St. Stephen's College,B.Pharm,Medicine,2005
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1987
Miranda House,B.Tech,Comp Sci,1994
National Institute of Fashion Technology (NIFT),B.A,Sociology,1989
National Institute of Technology (Jaipur),B.A,English,1987
Indian School of Business (ISB),B.Pharm,Medicine,2020
Banaras Hindu University (BHU),B.A,English,2003
Indian Institute of Management (Ahmedabad),BE,Comp Sci,1999
Christ University,M.Tech,Comp Sci,2008
Indian School of Business (ISB),M.Tech,Electrical,2020
Indian Institutes of Management (IIMs),B.A,History,1990
Indian School of Business (ISB),B.A,Sociology,2016
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2004
National Law School of India University (NLSIU),M.Tech,Electrical,2021
Indian Institute of Management (Indore),B.Pharm,Medicine,2017
Aligarh Muslim University (AMU),B.A,English,2001
Delhi Technological University (DTU),M.Tech,Electrical,1999
National Institute of Technology (Jaipur),B.Pharm,Medicine,2022
Loyola College,B.A,History,1987
Hansraj College,BE,Mechanical,1998
Indian Institute of Technology (Roorkee),Ph.D,Comp Sci,2022
Miranda House,M.Tech,Mechanical,1992
National Institute of Technology (Trichy),BE,Civil,1989
Miranda House,BE,Manu,2017
Indian Statistical Institute (ISI),BE,Electrical,2011
Christ University,B.Pharm,Medicine,1991
Banaras Hindu University (BHU),B.A,Psychology,1992
Indian Institute of Management (Kolkata),M.Tech,Civil,2009
National Institute of Technology (NITs),B.Pharm,Medicine,2010
Xavier Labour Relations Institute (XLRI),B.Tech,Mechanical,2012
All India Institute of Medical Sciences (AIIMS),B.Tech,Manu,1988
St. Stephen's College,B.A,History,2003
Presidency University,BE,Manu,2000
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1981
National Institute of Fashion Technology (NIFT),B.Tech,Comp Sci,2013
Indian Institute of Management (Kolkata),BE,Civil,1987
Indian Institute of Technology (Kanpur),M.Tech,Civil,2017
Xavier Labour Relations Institute (XLRI),B.A,Sociology,1990
Miranda House,B.Tech,Manu,1984
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2020
Christ University,M.Tech,Manu,2011
Lady Shri Ram College for Women (LSR),BE,Electrical,1988
Indian Statistical Institute (ISI),M.Tech,Civil,2013
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1994
Symbiosis International University,B.Pharm,Medicine,1986
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Electrical,2011
Indian School of Business (ISB),M.Tech,Electrical,2006
Indian Institutes of Technology (IITs),B.Pharm,Medicine,1996
National Law University (NLU),B.A,English,1985
Indian Institute of Technology (Banaras Hindu University),B.A,English,1991
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Medicine,1996
National Law University (NLU),B.Pharm,Medicine,2003
National Institute of Fashion Technology (NIFT),Ph.D,English,2003
Banaras Hindu University (BHU),BE,Manu,1986
St. Stephen's College,B.Tech,Electrical,1983
Indian Institute of Management (Kozhikode),M.Tech,Civil,2021
Aligarh Muslim University (AMU),B.Pharm,Medicine,1980
Banaras Hindu University (BHU),BE,Comp Sci,2015
Indian Institute of Management (Lucknow),B.Tech,Manu,2006
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,1991
Indian Institute of Technology (Roorkee),Ph.D,Mechanical,1985
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2014
Indian Statistical Institute (ISI),B.A,Sociology,1987
National Institute of Technology (Trichy),M.Tech,Civil,2004
Loyola College,M.Tech,Mechanical,1985
National Institute of Technology (Warangal),Ph.D,Sociology,1995
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Electrical,1987
National Law School of India University (NLSIU),B.Tech,Comp Sci,1994
National Institute of Technology (Trichy),B.A,Psychology,2012
Lady Shri Ram College for Women (LSR),M.Tech,Comp Sci,2022
National Institute of Fashion Technology (NIFT),B.Tech,Manu,2018
National Institute of Technology (Jaipur),B.Pharm,Medicine,1989
Aligarh Muslim University (AMU),BE,Electrical,2014
Indian Statistical Institute (ISI),B.Tech,Electrical,1995
National Institute of Fashion Technology (NIFT),M.Tech,Manu,1986
National Institute of Technology (NITs),B.Pharm,Medicine,2004
Loyola College,M.Tech,Comp Sci,1996
Manipal Academy of Higher Education,B.Tech,Civil,2019
Lady Shri Ram College for Women (LSR),M.Tech,Comp Sci,1987
National Institute of Technology (Calicut),B.Pharm,Medicine,1982
National Law University (NLU),B.Pharm,Medicine,2011
Miranda House,M.Tech,Comp Sci,1981
Birla Institute of Technology and Science (BITS Pilani),B.A,English,1986
National Institute of Technology (NITs),B.Tech,Mechanical,1992
Aligarh Muslim University (AMU),BE,Mechanical,1983
Indian Institute of Management (Ahmedabad),BE,Manu,2016
Delhi Technological University (DTU),B.Tech,Manu,2022
Aligarh Muslim University (AMU),B.Pharm,Medicine,1982
Indian Institute of Technology (Bombay),M.Tech,Comp Sci,2019
Loyola College,BE,Electrical,2000
Indian Institute of Technology (Madras),B.Pharm,Medicine,1988
Hansraj College,B.Tech,Comp Sci,2000
National Institute of Technology (NITs),B.Pharm,Medicine,2021
Indian Institute of Technology (Delhi),M.Tech,Comp Sci,1992
Indian Institute of Technology (Roorkee),BE,Electrical,1985
National Institute of Technology (Surathkal),Ph.D,Mechanical,2013
Indian Institute of Management (Ahmedabad),M.Tech,Manu,2019
Indian Statistical Institute (ISI),B.Pharm,Medicine,1985
Loyola College,B.Tech,Civil,1988
Delhi Technological University (DTU),BE,Electrical,2000
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1990
Indian Statistical Institute (ISI),BE,Civil,2005
Indian Institute of Technology (Bhubaneswar),B.Tech,Comp Sci,2012
Indian Institute of Management (Indore),BE,Electrical,1984
National Institute of Fashion Technology (NIFT),BE,Manu,1989
National Institute of Technology (NITs),B.Pharm,Medicine,2011
National Institute of Design (NID),BE,Manu,1995
All India Institute of Medical Sciences (AIIMS),B.A,English,2015
Indian Institute of Foreign Trade (IIFT),BE,Electrical,2000
All India Institute of Medical Sciences (AIIMS),BE,Mechanical,1991
Symbiosis International University,M.Tech,Manu,2016
Indian Statistical Institute (ISI),BE,Comp Sci,2013
Indian Institute of Technology (Banaras Hindu University),B.Tech,Mechanical,1980
Indian Institute of Management (Kolkata),M.Tech,Mechanical,2014
National Institute of Design (NID),M.Tech,Mechanical,2020
Indian Institute of Management (Kozhikode),BE,Comp Sci,1999
Birla Institute of Technology and Science (BITS Pilani),B.A,Sociology,1996
Loyola College,B.A,Psychology,1994
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,1998
Hansraj College,B.Pharm,Medicine,1983
Christ University,Ph.D,Mechanical,1999
Indian Institute of Science (IISc),BE,Manu,2021
Indian Statistical Institute (ISI),BE,Manu,1987
National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,2005
National Law University (NLU),B.A,English,1988
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1983
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Electrical,2016
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2008
Indian Institute of Technology (Bhubaneswar),M.Tech,Mechanical,2005
Indian Institute of Science Education and Research (IISER),B.Tech,Manu,2009
Indian Institute of Science (IISc),B.Tech,Comp Sci,1981
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2010
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2002
Indian Institute of Science (IISc),M.Tech,Electrical,2001
Indian Institute of Science Education and Research (IISER),B.A,Psychology,2002
Indian Institute of Management (Indore),B.Pharm,Medicine,2014
Indian Statistical Institute (ISI),M.Tech,Civil,1985
National Institute of Technology (Warangal),B.A,History,1980
Xavier Labour Relations Institute (XLRI),Ph.D,English,1988
Manipal Academy of Higher Education,B.A,Psychology,2004
St. Stephen's College,BE,Manu,2002
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,1994
National Institute of Technology (Calicut),B.Tech,Manu,2002
Indian Institute of Foreign Trade (IIFT),BE,Electrical,2014
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,2022
Presidency University,Ph.D,Manu,2014
Indian Institute of Management (Kozhikode),B.Tech,Manu,1990
National Institute of Technology (Trichy),B.A,English,1983
Indian Institute of Management (Kolkata),Ph.D,Medicine,2010
Indian Institute of Management (Kolkata),B.A,Sociology,1993
National Institute of Technology (Jaipur),M.Tech,Manu,2014
Indian Institute of Management (Lucknow),BE,Mechanical,1988
Manipal Academy of Higher Education,B.Tech,Manu,1989
National Institute of Technology (Calicut),B.Tech,Electrical,1992
Miranda House,BE,Mechanical,2022
National Institute of Technology (Warangal),BE,Electrical,2009
National Institute of Technology (Warangal),Ph.D,Mechanical,2010
Banaras Hindu University (BHU),B.Pharm,Medicine,2016
Indian Institute of Management (Kozhikode),B.A,Psychology,2000
Indian Institute of Technology (Roorkee),BE,Comp Sci,1995
Indian Institute of Science Education and Research (IISER),Ph.D,Comp Sci,2007
National Institute of Technology (Surathkal),B.Tech,Mechanical,1989
Indian Institute of Management (Indore),B.Tech,Comp Sci,2001
Indian Institute of Management (Kozhikode),BE,Comp Sci,1986
National Institute of Technology (Warangal),BE,Mechanical,2022
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1982
National Institute of Fashion Technology (NIFT),M.Tech,Manu,1990
Indian Institute of Technology (Banaras Hindu University),M.Tech,Comp Sci,2021
Indian Institutes of Management (IIMs),Ph.D,Civil,2017
Indian Institute of Foreign Trade (IIFT),B.A,English,1992
Indian Institute of Technology (Delhi),BE,Civil,2013
All India Institute of Medical Sciences (AIIMS),B.A,History,2009
Indian School of Business (ISB),B.Pharm,Medicine,2014
National Institute of Technology (Warangal),M.Tech,Mechanical,1984
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1994
Indian Institute of Technology (Delhi),B.Tech,Mechanical,2004
Indian Institute of Foreign Trade (IIFT),M.Tech,Manu,2007
Indian Institute of Technology (Bhubaneswar),Ph.D,Psychology,2019
Indian Institute of Technology (Guwahati),B.Pharm,Medicine,1998
National Institute of Fashion Technology (NIFT),BE,Electrical,1981
Jawaharlal Nehru University (JNU),B.A,History,2022
Aligarh Muslim University (AMU),B.A,Psychology,2005
All India Institute of Medical Sciences (AIIMS),M.Tech,Mechanical,1992
Aligarh Muslim University (AMU),B.Pharm,Medicine,1987
Indian Institute of Technology (Kanpur),B.Tech,Civil,2013
Jawaharlal Nehru University (JNU),B.A,Sociology,2016
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2012
Indian Institute of Technology (Delhi),B.A,Psychology,1984
Jawaharlal Nehru University (JNU),BE,Electrical,2001
Loyola College,M.Tech,Mechanical,1984
Indian Institute of Technology (Delhi),BE,Civil,2017
Indian Institute of Technology (Banaras Hindu University),B.A,English,2010
National Institute of Technology (Calicut),B.A,English,1987
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2020
Banaras Hindu University (BHU),Ph.D,Manu,2019
National Institute of Technology (Warangal),B.A,Psychology,2015
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1980
All India Institute of Medical Sciences (AIIMS),Ph.D,Comp Sci,2009
Indian Institute of Management (Ahmedabad),B.A,Psychology,1982
Indian Institutes of Technology (IITs),BE,Manu,1995
National Law University (NLU),BE,Mechanical,1992
Indian Institute of Technology (Guwahati),BE,Electrical,1992
National Institute of Design (NID),M.Tech,Civil,1996
All India Institute of Medical Sciences (AIIMS),M.Tech,Civil,2007
Banaras Hindu University (BHU),B.A,Psychology,2008
Indian Institute of Science Education and Research (IISER),B.Tech,Civil,1986
Loyola College,B.Pharm,Medicine,2006
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,1986
Indian Institute of Management (Kozhikode),BE,Manu,2008
National Institute of Design (NID),BE,Civil,2008
Xavier Labour Relations Institute (XLRI),M.Tech,Manu,1999
Hansraj College,Ph.D,English,1984
Indian Institute of Management (Kozhikode),B.Pharm,Medicine,2009
National Institute of Technology (Jaipur),BE,Mechanical,1994
Indian Institute of Science (IISc),B.Tech,Manu,1981
Indian Statistical Institute (ISI),BE,Electrical,2009
Indian Institute of Technology (Kanpur),M.Tech,Civil,1990
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1997
Presidency University,BE,Comp Sci,2011
National Institute of Technology (NITs),BE,Electrical,2007
Indian Institute of Management (Kozhikode),M.Tech,Mechanical,1991
Xavier Labour Relations Institute (XLRI),M.Tech,Comp Sci,2009
Indian Institute of Technology (Roorkee),BE,Mechanical,1985
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Civil,2015
